Gene,Mutation_Frequency (%)
TTN,12.650602409638553
TP53,11.44578313253012
SPOP,11.44578313253012
MUC16,7.429718875502007
MUC17,6.2248995983935735
MLL2,5.8232931726907635
MLL3,5.8232931726907635
FOXA1,5.622489959839357
SPTA1,5.220883534136546
SYNE1,5.220883534136546
