project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	4d7450ae-6f96-45bb-8359-507c9d5d7a98	DTB-067-N	'--	'--	4b54248f-c1b0-5690-a4a1-8c39fd95e41d	'--	'--	'--	'--
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	a2830d00-4fda-4847-954c-f050bd4c1a36	DTB-067-PRO	'--	'--	9a76f6cc-45e9-5bd8-8a89-0b3777f321c1	'--	'--	'--	'--
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	a2830d00-4fda-4847-954c-f050bd4c1a36	DTB-067-PRO	'--	'--	8137fc68-0795-5e62-a342-68efc85208cc	'--	'--	'--	'--
WCDT-MCRPC	2bb2fe8d-8e69-460d-999b-61a4e32ccd2c	DTB-067	a2830d00-4fda-4847-954c-f050bd4c1a36	DTB-067-PRO	'--	'--	fcf4aab5-33b1-5154-b4d3-3ad3a8ff37c1	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	9530c9eb-543f-451d-8960-fb8dfec19a5b	DTB-214-N	'--	'--	af95b887-2a5f-5829-b3f3-16fe9f20e69b	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	'--	'--	51386bfb-a416-5014-8b17-a1764fdc80a5	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	'--	'--	6e3181ea-6b5e-59cb-9ae9-43014fb5c394	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	'--	'--	d1126b70-190f-50a1-8838-c9bbb66b8d71	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	0462d251-7cea-4e30-aea3-3a2980a29292	DTB-187-N	'--	'--	c5ff1f9b-6dea-5ff3-a50c-ea902bcc5c71	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	9cd093c0-6bf0-43ac-a5c1-0024dfdf7e69	DTB-187-BL	'--	'--	93ab69c6-31f3-57fd-aeb0-f370a2ba33fb	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	9cd093c0-6bf0-43ac-a5c1-0024dfdf7e69	DTB-187-BL	'--	'--	a0ea68f7-1a6f-5d0b-8373-8ade09d49849	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	9cd093c0-6bf0-43ac-a5c1-0024dfdf7e69	DTB-187-BL	'--	'--	fd1df61b-ac17-575c-be18-5de580707a72	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	2a9ccb75-595c-4f1d-b211-352ecd8227ca	DTB-064-BL	'--	'--	7b3db0e4-b695-52bf-8869-d3d7536b5bbf	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	2a9ccb75-595c-4f1d-b211-352ecd8227ca	DTB-064-BL	'--	'--	735ff80e-5680-5fa2-aab4-8e48cf9af810	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	2a9ccb75-595c-4f1d-b211-352ecd8227ca	DTB-064-BL	'--	'--	403249d0-447f-53df-91b9-c0d42840992a	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	e1a5feb8-f7e5-46d3-8250-3f53ef9742c2	DTB-064-N	'--	'--	cedf563a-9b8e-50ec-a93e-fefa0e4933fe	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	7f70714f-c188-449d-9b2d-84f8f48c45f8	DTB-188-TUMOR_ADJACENT-N	'--	'--	1a5906db-0fc9-5271-be58-4e1ff67144a2	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	887af908-58f3-4a0d-b3e3-a5e16fd32af8	DTB-188-BL	'--	'--	1c2dc026-9c5e-5073-a426-8827c3150da1	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	887af908-58f3-4a0d-b3e3-a5e16fd32af8	DTB-188-BL	'--	'--	90f7c640-5844-59ee-8e78-8bbb06828360	'--	'--	'--	'--
